30
0.0 2.24 8.54 10.0 21.1 10.82 10.44 28.07 19.7 19.42 6.0 8.06 14.76 10.3 12.73 18.44 2.0 19.65 7.28 8.6 9.22 3.16 3.61 17.89 21.54 32.06 22.09 15.26 9.06 1.0 
2.24 0.0 6.32 10.63 19.24 9.9 11.05 29.0 19.92 17.49 7.28 7.62 13.0 8.06 10.63 16.4 3.61 20.22 8.94 8.54 10.0 5.0 5.66 16.16 21.84 33.0 23.0 15.23 8.06 2.0 
8.54 6.32 0.0 14.87 15.3 9.06 13.93 31.58 21.0 13.34 12.04 10.3 10.05 2.24 6.08 11.7 9.43 22.2 14.14 10.44 14.56 11.18 11.66 13.0 23.0 35.51 25.71 16.0 9.22 8.25 
10.0 10.63 14.87 0.0 19.72 20.52 20.12 36.88 29.53 18.79 15.23 5.0 13.93 15.3 15.03 18.97 11.66 29.15 15.52 18.6 1.0 7.62 11.7 16.12 31.3 40.79 31.05 25.24 7.07 9.22 
21.1 19.24 15.3 19.72 0.0 24.08 29.12 46.87 36.12 2.0 26.4 15.62 6.4 13.15 9.22 4.12 22.83 37.48 28.18 25.71 20.25 22.02 24.7 3.61 38.12 50.8 41.0 31.14 13.45 20.25 
10.82 9.9 9.06 20.52 24.08 0.0 7.21 23.09 12.04 22.09 9.0 17.2 19.1 11.0 15.0 20.22 9.85 13.6 11.05 4.12 19.85 13.89 11.4 22.02 14.04 26.93 17.46 7.07 17.0 11.4 
10.44 11.05 13.93 20.12 29.12 7.21 0.0 18.03 9.43 27.2 5.0 18.44 23.35 16.16 19.92 25.63 8.54 9.22 5.83 3.61 19.24 12.53 8.6 26.48 11.18 22.02 12.04 5.83 19.1 11.4 
28.07 29.0 31.58 36.88 46.87 23.09 18.03 0.0 11.66 44.91 22.09 36.12 41.3 33.73 37.66 43.17 26.08 9.49 21.38 21.21 35.9 29.43 25.32 44.41 10.0 4.0 6.0 16.16 37.01 29.07 
19.7 19.92 21.0 29.53 36.12 12.04 9.43 11.66 0.0 34.13 14.42 27.51 31.02 23.02 27.02 32.25 17.89 3.16 14.87 11.4 28.65 21.95 18.03 34.0 2.0 15.23 7.21 5.0 27.89 20.62 
19.42 17.49 13.34 18.79 2.0 22.09 27.2 44.91 34.13 0.0 24.6 14.42 5.0 11.18 7.28 2.24 21.1 35.51 26.42 23.77 19.24 20.52 23.02 3.0 36.12 48.84 39.05 29.15 12.21 18.6 
6.0 7.28 12.04 15.23 26.4 9.0 5.0 22.09 14.42 24.6 0.0 14.04 20.25 14.21 17.49 23.32 4.0 13.93 2.24 5.1 14.32 7.62 3.61 23.41 16.12 26.08 16.12 10.63 15.03 7.0 
