12
0.0 	35.3 	70.9 	47.0 	49.5 	94.4 	76.7 	48.4 	78.5 	91.0 	13.8 	72.6 	
35.3 	0.0 	71.5 	94.9 	19.8 	81.0 	72.5 	98.3 	42.7 	16.3 	61.0 	19.2 	
70.9 	71.5 	0.0 	31.9 	78.0 	65.7 	93.7 	39.1 	93.1 	80.9 	19.0 	2.2 	
47.0 	94.9 	31.9 	0.0 	52.7 	65.7 	51.1 	85.4 	79.9 	1.0 	4.8 	51.8 	
49.5 	19.8 	78.0 	52.7 	0.0 	77.7 	35.4 	99.6 	34.2 	92.0 	21.9 	2.1 	
94.4 	81.0 	65.7 	65.7 	77.7 	0.0 	48.6 	33.2 	21.1 	72.2 	25.9 	37.2 	
76.7 	72.5 	93.7 	51.1 	35.4 	48.6 	0.0 	86.6 	5.1 	79.1 	15.6 	91.7 	
48.4 	98.3 	39.1 	85.4 	99.6 	33.2 	86.6 	0.0 	78.7 	89.7 	78.5 	53.8 	
78.5 	42.7 	93.1 	79.9 	34.2 	21.1 	5.1 	78.7 	0.0 	26.5 	2.5 	83.6 	
91.0 	16.3 	80.9 	1.0 	92.0 	72.2 	79.1 	89.7 	26.5 	0.0 	38.3 	4.3 	
13.8 	61.0 	19.0 	4.8 	21.9 	25.9 	15.6 	78.5 	2.5 	38.3 	0.0 	45.1 	
72.6 	19.2 	2.2 	51.8 	2.1 	37.2 	91.7 	53.8 	83.6 	4.3 	45.1 	0.0 	
