50
0.0 2.0 1.0 2.24 2.0 2.83 3.0 3.61 4.0 4.47 5.0 5.39 6.0 6.32 7.0 7.28 8.0 8.25 9.0 9.22 10.0 10.2 11.0 11.18 12.0 12.17 13.0 13.15 14.0 14.14 15.0 15.13 16.0 16.12 17.0 17.12 18.0 18.11 19.0 19.1 20.0 20.1 21.0 21.1 22.0 22.09 23.0 23.09 24.0 24.08 
2.0 0.0 2.24 1.0 2.83 2.0 3.61 3.0 4.47 4.0 5.39 5.0 6.32 6.0 7.28 7.0 8.25 8.0 9.22 9.0 10.2 10.0 11.18 11.0 12.17 12.0 13.15 13.0 14.14 14.0 15.13 15.0 16.12 16.0 17.12 17.0 18.11 18.0 19.1 19.0 20.1 20.0 21.1 21.0 22.09 22.0 23.09 23.0 24.08 24.0 
1.0 2.24 0.0 2.0 1.0 2.24 2.0 2.83 3.0 3.61 4.0 4.47 5.0 5.39 6.0 6.32 7.0 7.28 8.0 8.25 9.0 9.22 10.0 10.2 11.0 11.18 12.0 12.17 13.0 13.15 14.0 14.14 15.0 15.13 16.0 16.12 17.0 17.12 18.0 18.11 19.0 19.1 20.0 20.1 21.0 21.1 22.0 22.09 23.0 23.09 
2.24 1.0 2.0 0.0 2.24 1.0 2.83 2.0 3.61 3.0 4.47 4.0 5.39 5.0 6.32 6.0 7.28 7.0 8.25 8.0 9.22 9.0 10.2 10.0 11.18 11.0 12.17 12.0 13.15 13.0 14.14 14.0 15.13 15.0 16.12 16.0 17.12 17.0 18.11 18.0 19.1 19.0 20.1 20.0 21.1 21.0 22.09 22.0 23.09 23.0 
2.0 2.83 1.0 2.24 0.0 2.0 1.0 2.24 2.0 2.83 3.0 3.61 4.0 4.47 5.0 5.39 6.0 6.32 7.0 7.28 8.0 8.25 9.0 9.22 10.0 10.2 11.0 11.18 12.0 12.17 13.0 13.15 14.0 14.14 15.0 15.13 16.0 16.12 17.0 17.12 18.0 18.11 19.0 19.1 20.0 20.1 21.0 21.1 22.0 22.09 
2.83 2.0 2.24 1.0 2.0 0.0 2.24 1.0 2.83 2.0 3.61 3.0 4.47 4.0 5.39 5.0 6.32 6.0 7.28 7.0 8.25 8.0 9.22 9.0 10.2 10.0 11.18 11.0 12.17 12.0 13.15 13.0 14.14 14.0 15.13 15.0 16.12 16.0 17.12 17.0 18.11 18.0 19.1 19.0 20.1 20.0 21.1 21.0 22.09 22.0 
3.0 3.61 2.0 2.83 1.0 2.24 0.0 2.0 1.0 2.24 2.0 2.83 3.0 3.61 4.0 4.47 5.0 5.39 6.0 6.32 7.0 7.28 8.0 8.25 9.0 9.22 10.0 10.2 11.0 11.18 12.0 12.17 13.0 13.15 14.0 14.14 15.0 15.13 16.0 16.12 17.0 17.12 18.0 18.11 19.0 19.1 20.0 20.1 21.0 21.1 
3.61 3.0 2.83 2.0 2.24 1.0 2.0 0.0 2.24 1.0 2.83 2.0 3.61 3.0 4.47 4.0 5.39 5.0 6.32 6.0 7.28 7.0 8.25 8.0 9.22 9.0 10.2 10.0 11.18 11.0 12.17 12.0 13.15 13.0 14.14 14.0 15.13 15.0 16.12 16.0 17.12 17.0 18.11 18.0 19.1 19.0 20.1 20.0 21.1 21.0 
4.0 4.47 3.0 3.61 2.0 2.83 1.0 2.24 0.0 2.0 1.0 2.24 2.0 2.83 3.0 3.61 4.0 4.47 5.0 5.39 6.0 6.32 7.0 7.28 8.0 8.25 9.0 9.22 10.0 10.2 11.0 11.18 12.0 12.17 13.0 13.15 14.0 14.14 15.0 15.13 16.0 16.12 17.0 17.12 18.0 18.11 19.0 19.1 20.0 20.1 
4.47 4.0 3.61 3.0 2.83 2.0 2.24 1.0 2.0 0.0 2.24 1.0 2.83 2.0 3.61 3.0 4.47 4.0 5.39 5.0 6.32 6.0 7.28 7.0 8.25 8.0 9.22 9.0 10.2 10.0 11.18 11.0 12.17 12.0 13.15 13.0 14.14 14.0 15.13 15.0 16.12 16.0 17.12 17.0 18.11 18.0 19.1 19.0 20.1 20.0 
