40
0.0 23.02 22.83 38.01 37.85 43.0 7.81 34.21 41.4 18.03 41.19 37.01 52.77 31.05 45.69 17.09 54.13 53.71 15.62 38.21 38.08 22.36 15.65 21.4 50.22 10.44 15.03 10.44 25.32 33.96 35.47 49.66 30.0 51.24 29.41 21.95 16.28 3.16 8.06 31.14 
23.02 0.0 24.19 21.1 16.64 20.02 29.61 22.36 27.86 5.39 18.68 24.74 34.66 34.44 26.87 9.9 32.31 36.12 15.56 27.46 20.0 11.4 12.04 15.23 28.64 22.83 27.2 13.6 37.48 13.45 17.2 31.11 25.5 30.53 18.03 12.65 26.25 24.33 23.77 24.08 
22.83 24.19 0.0 23.19 28.64 37.74 22.67 16.03 22.56 20.25 34.0 18.25 36.22 10.44 31.06 14.87 42.95 36.5 10.05 18.03 24.52 13.45 13.34 9.22 39.05 12.81 11.18 17.03 15.81 25.06 23.09 34.01 8.06 38.33 13.34 12.04 8.94 20.81 15.62 10.44 
38.01 21.1 23.19 0.0 9.49 19.24 41.76 8.06 8.06 22.63 14.76 7.81 14.76 29.07 8.06 21.1 19.92 15.81 23.09 10.82 2.24 15.65 22.36 17.46 16.16 31.78 33.06 27.78 38.83 9.06 4.12 11.7 17.46 15.13 10.0 16.16 31.02 37.7 34.21 14.32 
37.85 16.64 28.64 9.49 0.0 10.0 43.1 16.4 17.46 20.25 5.66 17.0 18.87 36.4 11.18 21.1 16.28 20.59 25.08 20.12 7.28 17.12 23.02 20.62 12.37 34.06 36.67 27.46 44.38 4.0 6.4 15.26 24.84 13.89 15.81 18.25 34.93 38.33 36.0 21.93 
43.0 20.02 37.74 19.24 10.0 0.0 49.25 26.4 26.93 25.02 4.47 26.93 24.33 46.1 18.03 27.66 14.87 26.31 32.57 30.02 17.0 25.08 29.83 29.07 12.53 41.23 44.6 33.14 53.24 12.81 16.4 21.1 34.66 16.16 25.5 26.4 43.08 44.1 42.76 31.83 
7.81 29.61 22.67 41.76 43.1 49.25 0.0 36.67 43.83 24.33 47.01 39.36 56.3 28.65 49.73 22.02 59.3 57.01 18.68 39.96 42.2 26.48 20.1 24.35 55.33 10.3 12.21 16.12 20.1 39.12 39.81 53.45 30.61 55.9 32.31 25.71 14.21 5.39 7.62 32.45 
34.21 22.36 16.03 8.06 16.4 26.4 36.67 0.0 7.21 21.93 22.02 2.83 20.22 21.02 15.3 18.6 27.86 20.62 18.6 5.1 10.0 13.04 19.1 12.81 24.17 26.4 26.68 24.76 31.26 14.32 10.0 18.0 9.49 22.8 5.0 12.81 24.52 33.29 29.07 6.32 
41.4 27.86 22.56 8.06 17.46 26.93 43.83 7.21 0.0 28.3 22.47 4.47 14.04 25.5 11.4 25.5 24.41 14.04 25.81 5.1 10.2 19.85 26.17 20.0 21.26 33.54 33.53 31.83 37.0 17.0 12.0 12.65 15.03 18.87 12.04 19.8 31.32 40.5 36.24 12.17 
18.03 5.39 20.25 22.63 20.25 25.02 24.33 21.93 28.3 0.0 23.19 24.6 37.01 30.68 29.41 5.39 36.4 38.29 10.82 26.93 22.02 9.22 7.21 12.04 32.57 17.49 22.02 8.25 32.56 16.55 19.21 33.6 23.0 34.01 17.09 10.05 21.21 19.1 18.38 22.2 
41.19 18.68 34.0 14.76 5.66 4.47 47.01 22.02 22.47 23.19 0.0 22.47 20.88 42.01 14.04 25.08 13.89 22.8 29.61 25.55 12.53 21.84 27.17 25.63 10.63 38.47 41.48 31.02 49.66 8.94 12.04 17.46 30.48 13.6 21.4 23.09 39.85 42.01 40.2 27.59 
37.01 24.74 18.25 7.81 17.0 26.93 39.36 2.83 4.47 24.6 22.47 0.0 18.03 22.14 13.93 21.4 26.83 18.25 21.4 3.16 10.0 15.81 21.93 15.62 23.32 29.07 29.12 27.59 33.06 15.52 10.77 16.12 11.05 21.54 7.81 15.62 26.93 36.06 31.76 8.0 
52.77 34.66 36.22 14.76 18.87 24.33 56.3 20.22 14.04 37.01 20.88 18.03 0.0 39.46 7.81 35.85 14.32 2.0 37.7 19.1 15.0 30.41 37.12 31.95 13.15 46.17 46.87 42.54 51.01 21.26 17.8 3.61 29.0 9.22 24.04 30.87 44.72 52.39 48.7 26.02 
31.05 34.44 10.44 29.07 36.4 46.1 28.65 21.02 25.5 30.68 42.01 22.14 39.46 0.0 36.06 25.3 48.85 39.2 20.4 20.4 30.89 23.32 23.77 19.24 45.19 20.62 16.55 27.07 13.0 33.3 30.23 38.08 11.66 43.66 20.62 21.95 14.87 28.46 23.09 14.76 
45.69 26.87 31.06 8.06 11.18 18.03 49.73 15.3 11.4 29.41 14.04 13.93 7.81 36.06 0.0 28.64 13.04 9.43 31.05 16.12 7.62 23.41 30.08 25.5 9.9 39.81 41.11 35.34 46.53 13.45 10.3 4.24 24.74 7.62 18.03 24.04 39.05 45.54 42.2 21.59 
17.09 9.9 14.87 21.1 21.1 27.66 22.02 18.6 25.5 5.39 25.08 21.4 35.85 25.3 28.64 0.0 37.34 36.89 5.66 23.32 21.02 5.66 2.24 7.07 33.38 13.6 17.49 6.71 27.59 17.12 18.38 32.65 18.11 34.21 13.6 5.83 16.4 17.26 15.13 17.72 
54.13 32.31 42.95 19.92 16.28 14.87 59.3 27.86 24.41 36.4 13.89 26.83 14.32 48.85 13.04 37.34 0.0 16.16 41.01 29.15 18.44 33.02 39.2 36.06 4.0 50.01 52.15 43.74 58.69 20.22 20.1 12.81 37.34 5.66 29.61 34.0 50.25 54.59 52.09 34.18 
53.71 36.12 36.5 15.81 20.59 26.31 57.01 20.62 14.04 38.29 22.8 18.25 2.0 39.2 9.43 36.89 16.16 0.0 38.48 19.0 16.28 31.38 38.08 32.7 15.13 46.82 47.3 43.57 51.01 22.8 19.1 5.39 29.07 11.18 24.7 31.76 45.12 53.23 49.4 26.17 
15.62 15.56 10.05 23.09 25.08 32.57 18.68 18.6 25.81 10.82 29.61 21.4 37.7 20.4 31.05 5.66 41.01 38.48 0.0 22.63 23.54 8.0 3.61 5.83 37.01 9.0 12.08 7.28 21.93 21.1 21.21 34.79 15.23 37.34 13.89 7.07 10.82 14.76 11.18 15.81 
38.21 27.46 18.03 10.82 20.12 30.02 39.96 5.1 5.1 26.93 25.55 3.16 19.1 20.4 16.12 23.32 29.15 19.0 22.63 0.0 13.04 17.89 23.6 17.03 25.81 29.68 29.15 29.21 32.02 18.68 13.93 17.72 10.2 23.71 9.85 17.49 26.93 37.01 32.45 7.62 
38.08 20.0 24.52 2.24 7.28 17.0 42.2 10.0 10.2 22.02 12.53 10.0 15.0 30.89 7.62 21.02 18.44 16.28 23.54 13.04 0.0 15.81 22.47 18.11 14.56 32.39 34.0 27.73 40.26 7.28 2.83 11.66 19.24 14.0 11.18 16.49 32.02 37.95 34.71 16.12 
22.36 11.4 13.45 15.65 17.12 25.08 26.48 13.04 19.85 9.22 21.84 15.81 30.41 23.32 23.41 5.66 33.02 31.38 8.0 17.89 15.81 0.0 6.71 4.24 29.02 17.0 19.65 12.21 28.3 13.15 13.34 27.31 14.14 29.43 8.06 1.41 18.03 22.14 19.1 13.04 
15.65 12.04 13.34 22.36 23.02 29.83 20.1 19.1 26.17 7.21 27.17 21.93 37.12 23.77 30.08 2.24 39.2 38.08 3.61 23.6 22.47 6.71 0.0 6.71 35.23 11.4 15.26 5.66 25.46 19.03 19.92 34.01 17.46 35.9 14.14 6.4 14.21 15.52 13.04 17.46 
21.4 15.23 9.22 17.46 20.62 29.07 24.35 12.81 20.0 12.04 25.63 15.62 31.95 19.24 25.5 7.07 36.06 32.7 5.83 17.03 18.11 4.24 6.71 0.0 32.06 14.32 16.12 12.21 24.19 16.76 16.0 29.12 11.05 32.06 8.06 2.83 14.32 20.59 16.76 10.77 
50.22 28.64 39.05 16.16 12.37 12.53 55.33 24.17 21.26 32.57 10.63 23.32 13.15 45.19 9.9 33.38 4.0 15.13 37.01 25.81 14.56 29.02 35.23 32.06 0.0 46.01 48.17 39.81 54.82 16.28 16.12 10.77 33.62 4.0 25.71 30.0 46.27 50.64 48.09 30.46 
10.44 22.83 12.81 31.78 34.06 41.23 10.3 26.4 33.54 17.49 38.47 29.07 46.17 20.62 39.81 13.6 50.01 46.82 9.0 29.68 32.39 17.0 11.4 14.32 46.01 0.0 5.39 9.9 16.55 30.07 30.15 43.42 20.52 46.27 22.14 16.03 6.0 8.06 2.83 22.2 
15.03 27.2 11.18 33.06 36.67 44.6 12.21 26.68 33.53 22.02 41.48 29.12 46.87 16.55 41.11 17.49 52.15 47.3 12.08 29.15 34.0 19.65 15.26 16.12 48.17 5.39 0.0 15.0 11.18 32.76 32.06 44.41 19.24 48.0 23.09 18.44 2.24 12.17 7.0 21.54 
10.44 13.6 17.03 27.78 27.46 33.14 16.12 24.76 31.83 8.25 31.02 27.59 42.54 27.07 35.34 6.71 43.74 43.57 7.28 29.21 27.73 12.21 5.66 12.21 39.81 9.9 15.0 0.0 26.08 23.54 25.08 39.36 22.47 40.8 19.8 12.04 14.76 11.0 10.3 22.83 
25.32 37.48 15.81 38.83 44.38 53.24 20.1 31.26 37.0 32.56 49.66 33.06 51.01 13.0 46.53 27.59 58.69 51.01 21.93 32.02 40.26 28.3 25.46 24.19 54.82 16.55 11.18 26.08 0.0 40.72 38.9 49.16 22.02 53.94 29.12 26.93 11.4 22.2 17.72 25.08 
33.96 13.45 25.06 9.06 4.0 12.81 39.12 14.32 17.0 16.55 8.94 15.52 21.26 33.3 13.45 17.12 20.22 22.8 21.1 18.68 7.28 13.15 19.03 16.76 16.28 30.07 32.76 23.54 40.72 0.0 5.0 17.69 21.93 17.46 12.73 14.32 31.05 34.37 32.0 19.21 
35.47 17.2 23.09 4.12 6.4 16.4 39.81 10.0 12.0 19.21 12.04 10.77 17.8 30.23 10.3 18.38 20.1 19.1 21.21 13.93 2.83 13.34 19.92 16.0 16.12 30.15 32.06 25.08 38.9 5.0 0.0 14.42 18.6 16.12 9.85 14.14 30.15 35.44 32.39 15.62 
