75
0.0 50.0 45.28 41.48 55.9 81.71 74.03 117.75 51.22 95.13 16.28 6.4 122.0 79.93 108.21 23.6 13.6 3.61 103.82 51.09 20.0 28.64 57.38 106.0 100.0 21.47 89.56 86.77 97.64 111.83 19.24 49.65 55.66 49.25 60.83 60.54 45.49 73.55 75.77 98.73 115.21 135.37 126.76 113.36 117.32 19.42 54.78 60.46 39.12 16.12 78.41 13.42 77.62 48.38 78.31 46.82 62.13 60.88 113.36 93.81 90.79 117.92 133.7 37.74 80.16 41.19 38.33 109.02 98.49 62.68 16.4 63.13 8.25 60.64 115.74 
50.0 0.0 63.64 30.68 68.01 47.07 60.83 114.56 2.0 87.0 66.22 56.22 113.07 99.04 126.29 28.23 59.03 53.41 77.83 47.85 58.82 34.06 13.15 85.42 94.76 29.0 85.8 47.0 106.55 78.77 45.28 64.54 32.53 48.85 83.19 74.33 65.49 93.86 79.76 73.54 83.02 140.8 130.42 82.76 81.02 54.38 29.0 90.09 19.24 62.29 93.64 62.29 80.78 87.3 120.22 27.78 92.09 100.13 127.48 102.08 112.79 130.18 130.14 50.64 125.0 87.85 40.11 87.66 100.0 78.16 65.95 106.23 55.57 100.28 80.1 
45.28 63.64 0.0 34.01 11.18 64.64 40.82 73.5 63.39 54.08 51.2 47.93 79.4 37.22 65.73 42.06 36.4 46.96 73.43 23.32 27.89 31.02 61.13 71.17 57.22 51.04 47.04 73.57 52.43 86.4 62.48 5.0 42.38 20.59 19.65 15.26 2.24 31.3 31.58 68.6 88.48 90.14 81.49 85.44 94.37 64.66 44.64 27.46 44.41 58.87 33.97 53.76 33.54 33.24 63.63 39.32 29.43 43.27 69.43 48.55 50.16 73.54 89.19 80.66 72.01 46.62 77.47 74.33 53.76 17.69 53.6 53.15 39.92 43.83 92.31 
41.48 30.68 34.01 0.0 37.36 40.71 36.4 87.8 30.08 61.4 55.95 47.43 88.59 68.41 95.63 21.21 43.27 44.92 63.03 17.8 38.9 13.0 27.17 66.75 68.24 31.05 58.41 47.01 76.55 70.34 49.37 34.23 14.32 18.36 53.15 43.68 36.06 63.35 50.0 58.01 73.76 111.95 101.86 72.01 75.96 56.0 14.21 61.29 12.21 57.49 62.97 54.71 51.22 62.24 94.92 6.4 63.29 74.33 97.06 72.11 82.23 99.98 103.81 63.57 101.52 68.12 56.36 69.58 71.42 47.54 57.01 82.29 42.49 74.67 74.33 
55.9 68.01 11.18 37.36 0.0 60.84 33.24 62.36 67.45 43.29 62.37 58.87 68.26 31.05 58.6 49.82 47.54 57.78 65.22 22.02 39.05 38.01 63.39 61.74 46.1 59.46 36.0 70.38 42.52 79.25 72.42 6.32 42.11 20.02 18.03 6.32 12.0 26.17 20.4 60.61 80.92 80.0 71.02 77.62 87.69 75.18 45.01 29.68 49.04 69.89 25.94 64.85 22.36 40.82 68.25 41.44 31.38 48.8 61.03 38.42 44.91 64.66 78.11 90.27 77.78 56.32 86.28 64.88 42.72 10.2 64.76 59.67 50.92 49.52 85.56 
81.71 47.07 64.64 40.71 60.84 0.0 32.06 79.62 45.12 52.81 96.61 87.85 74.06 86.88 108.0 59.2 83.86 85.23 31.91 41.4 78.82 53.67 33.96 41.73 61.35 66.91 55.9 10.05 83.22 32.02 85.99 61.91 26.42 44.2 78.79 65.55 66.85 84.2 59.3 28.43 36.12 109.79 99.02 35.69 35.9 93.94 26.93 90.35 43.93 97.41 79.25 95.08 59.14 97.45 128.16 34.93 92.13 107.9 105.39 79.1 100.45 106.07 93.3 96.02 136.61 106.96 86.28 43.28 71.39 69.29 97.58 117.61 83.19 108.47 34.53 
74.03 60.83 40.82 36.4 33.24 32.06 0.0 53.81 59.4 26.17 85.59 79.03 52.7 55.36 76.01 57.28 70.86 77.0 32.65 23.02 63.56 46.69 50.61 32.14 34.06 67.36 25.94 42.11 51.62 46.01 85.15 36.62 28.32 25.18 50.0 36.4 42.72 53.31 27.29 27.78 47.8 81.49 70.83 44.65 54.49 90.93 31.83 62.48 47.01 90.0 47.54 86.09 27.07 73.6 101.32 34.99 64.03 82.04 73.82 47.38 68.66 74.95 69.31 99.96 111.02 87.21 92.61 35.23 41.23 39.66 87.37 92.85 72.25 82.76 52.35 
117.75 114.56 73.5 87.8 62.36 79.62 53.81 0.0 113.17 27.8 124.66 121.12 13.6 53.6 50.21 106.85 109.9 119.87 55.44 70.72 101.39 95.02 104.35 43.19 19.8 117.14 29.41 88.39 30.08 71.03 132.82 68.68 82.04 71.34 66.0 59.03 73.98 57.71 42.06 55.32 69.03 31.26 21.0 65.01 80.01 136.69 85.59 76.42 99.49 132.2 48.37 127.2 40.16 95.08 109.11 87.86 76.66 96.51 41.4 30.81 57.71 38.08 16.12 149.59 121.12 114.0 143.67 44.01 20.1 58.42 127.09 108.06 113.23 97.49 78.0 
51.22 2.0 63.39 30.08 67.45 45.12 59.4 113.17 0.0 85.56 67.48 57.49 111.52 98.49 125.59 29.07 59.94 54.67 75.96 47.01 59.46 34.23 11.18 83.65 93.38 30.41 84.5 45.0 105.59 76.79 47.01 64.13 31.14 48.1 82.87 73.76 65.28 93.39 78.77 71.69 81.05 139.62 129.2 80.81 79.03 56.08 27.59 90.02 19.03 63.78 92.97 63.66 79.76 87.66 120.62 26.83 92.02 100.45 126.63 101.12 112.29 129.25 128.7 52.61 125.57 88.64 42.11 85.87 98.81 77.62 67.27 106.74 56.6 100.62 78.1 
95.13 87.0 54.08 61.4 43.29 52.81 26.17 27.8 85.56 0.0 104.31 99.3 27.31 49.5 60.73 81.44 89.27 97.67 34.48 45.31 81.1 70.01 76.58 24.7 8.54 91.71 8.6 62.1 34.79 51.24 108.5 49.09 54.49 46.49 53.71 42.45 55.23 50.61 24.7 32.39 50.7 57.01 46.24 46.62 60.73 113.32 58.0 66.19 72.67 110.48 41.77 105.93 22.85 82.22 103.73 60.8 67.12 87.21 55.58 31.78 59.64 55.04 43.14 124.39 114.91 99.25 117.72 27.2 20.22 43.66 106.47 98.84 91.79 88.1 58.52 
