60
0.0 	92.6 	6.7 	14.0 	56.0 	46.2 	2.0 	58.2 	73.0 	96.2 	30.4 	43.0 	4.8 	88.7 	38.6 	25.3 	20.7 	9.4 	85.1 	92.1 	27.9 	19.7 	64.6 	81.6 	90.4 	32.1 	6.0 	66.7 	35.0 	22.9 	27.3 	9.7 	33.3 	13.3 	7.8 	8.2 	86.1 	45.8 	54.2 	94.1 	20.4 	85.2 	40.9 	21.3 	17.1 	46.2 	30.2 	50.1 	35.5 	31.7 	50.0 	85.7 	47.4 	48.1 	70.2 	19.1 	37.4 	31.1 	81.5 	12.7 	
92.6 	0.0 	11.3 	94.6 	78.7 	69.3 	90.3 	98.4 	74.5 	76.2 	55.3 	34.1 	39.6 	80.1 	4.7 	62.6 	65.3 	81.4 	17.6 	24.5 	28.5 	16.1 	39.4 	60.5 	68.5 	64.0 	2.1 	6.8 	20.3 	69.6 	68.3 	80.1 	30.4 	17.7 	84.8 	56.7 	92.3 	10.6 	78.1 	55.7 	89.4 	59.2 	31.2 	53.9 	28.1 	3.5 	65.7 	72.0 	46.0 	51.6 	78.5 	36.0 	44.9 	95.6 	96.7 	63.7 	39.6 	13.9 	5.4 	94.5 	
6.7 	11.3 	0.0 	19.6 	85.7 	88.7 	22.6 	10.2 	3.1 	43.7 	78.7 	69.1 	93.9 	89.4 	46.4 	65.3 	48.8 	16.7 	12.6 	59.7 	40.5 	29.6 	9.0 	13.1 	49.5 	35.1 	99.3 	86.2 	16.2 	65.6 	51.1 	60.0 	87.5 	1.4 	61.2 	52.5 	65.2 	33.9 	49.6 	53.8 	93.9 	64.9 	49.9 	54.5 	22.7 	75.4 	61.4 	52.5 	62.0 	48.3 	44.4 	63.4 	23.8 	23.7 	6.2 	81.4 	26.5 	11.2 	21.4 	92.0 	
14.0 	94.6 	19.6 	0.0 	90.7 	6.8 	14.3 	24.1 	77.9 	85.1 	69.0 	4.4 	81.5 	46.9 	15.4 	97.1 	88.2 	67.0 	46.7 	22.3 	18.7 	32.5 	3.3 	89.4 	57.1 	44.1 	66.3 	96.8 	73.0 	44.9 	96.4 	80.5 	33.7 	82.4 	87.5 	14.2 	32.9 	1.9 	17.6 	97.2 	80.1 	41.2 	11.3 	81.0 	37.8 	53.2 	88.0 	64.1 	46.5 	83.8 	45.2 	41.0 	24.7 	65.4 	91.1 	32.7 	33.4 	49.1 	49.1 	47.2 	
56.0 	78.7 	85.7 	90.7 	0.0 	24.9 	3.0 	54.4 	6.5 	64.0 	10.4 	48.7 	98.5 	36.7 	85.1 	7.2 	14.3 	3.5 	13.6 	96.6 	52.6 	30.1 	73.2 	69.3 	96.1 	84.5 	38.1 	43.5 	47.9 	84.1 	46.9 	86.3 	23.1 	65.2 	33.0 	42.8 	17.0 	89.2 	84.8 	57.0 	59.1 	25.2 	41.9 	4.9 	2.9 	74.5 	26.8 	13.9 	45.9 	57.3 	33.1 	74.3 	47.8 	85.1 	65.1 	56.2 	84.5 	47.1 	19.7 	14.3 	
46.2 	69.3 	88.7 	6.8 	24.9 	0.0 	33.1 	31.0 	50.2 	30.8 	58.4 	99.5 	11.5 	40.2 	56.4 	54.3 	75.8 	12.1 	59.3 	19.9 	84.6 	11.2 	63.5 	22.5 	41.1 	73.2 	13.7 	74.3 	87.2 	88.8 	3.8 	31.7 	72.7 	83.9 	37.2 	49.5 	98.9 	64.7 	88.7 	25.1 	66.3 	81.5 	54.9 	45.4 	31.4 	9.6 	6.1 	65.8 	21.7 	12.9 	82.8 	40.3 	44.0 	66.9 	19.2 	41.8 	95.9 	23.3 	85.1 	2.2 	
2.0 	90.3 	22.6 	14.3 	3.0 	33.1 	0.0 	72.9 	77.6 	69.6 	47.5 	68.7 	10.4 	47.4 	74.3 	22.0 	51.9 	69.6 	25.6 	94.5 	60.8 	3.0 	96.0 	89.9 	6.6 	3.6 	19.5 	92.8 	70.8 	55.2 	17.8 	85.0 	19.5 	15.6 	41.0 	87.5 	13.1 	20.8 	21.4 	5.5 	74.9 	99.3 	39.9 	61.9 	97.2 	5.1 	45.4 	1.8 	58.4 	17.5 	35.4 	58.0 	33.5 	92.3 	96.2 	91.7 	36.0 	44.4 	55.7 	70.3 	
58.2 	98.4 	10.2 	24.1 	54.4 	31.0 	72.9 	0.0 	7.1 	41.9 	37.6 	30.1 	81.8 	21.5 	61.6 	25.9 	39.3 	4.4 	23.5 	76.5 	88.4 	83.2 	60.5 	96.3 	47.5 	37.2 	5.4 	49.8 	94.0 	83.3 	74.0 	24.2 	10.1 	45.0 	77.8 	21.3 	52.9 	99.4 	93.1 	29.6 	25.3 	63.2 	99.5 	88.9 	9.7 	38.1 	46.3 	91.7 	88.9 	30.6 	26.4 	87.8 	45.1 	53.6 	80.4 	34.8 	65.5 	87.8 	5.9 	55.5 	
73.0 	74.5 	3.1 	77.9 	6.5 	50.2 	77.6 	7.1 	0.0 	81.4 	25.7 	40.1 	79.8 	24.1 	80.0 	47.3 	89.2 	67.8 	45.3 	18.8 	51.1 	81.0 	12.9 	53.5 	69.7 	11.9 	1.8 	28.3 	90.1 	38.3 	94.9 	22.5 	89.0 	25.5 	56.6 	21.3 	38.4 	10.7 	64.1 	14.5 	56.1 	95.2 	25.0 	4.5 	98.6 	19.1 	82.9 	78.6 	78.0 	1.8 	34.6 	22.6 	86.7 	78.6 	74.1 	85.7 	54.9 	3.4 	48.6 	38.5 	
96.2 	76.2 	43.7 	85.1 	64.0 	30.8 	69.6 	41.9 	81.4 	0.0 	46.4 	21.7 	55.8 	55.7 	98.2 	42.9 	15.6 	14.0 	2.7 	23.1 	18.8 	21.6 	50.0 	43.7 	9.7 	40.9 	46.5 	89.8 	31.9 	10.6 	13.2 	57.8 	29.3 	34.8 	19.8 	17.4 	31.1 	29.9 	9.2 	67.3 	73.4 	59.4 	19.9 	36.5 	45.1 	16.8 	78.5 	17.5 	75.8 	47.0 	66.8 	21.1 	38.0 	22.3 	61.6 	53.4 	61.0 	19.6 	32.1 	60.1 	
