80
0.0 	99.7 	16.6 	39.3 	5.0 	83.1 	50.3 	8.2 	9.1 	46.5 	33.8 	66.4 	23.0 	95.3 	7.1 	32.0 	12.0 	17.9 	83.2 	16.1 	5.1 	2.4 	80.2 	57.4 	13.7 	36.5 	24.0 	93.4 	39.5 	26.2 	34.6 	64.3 	89.8 	5.5 	2.8 	68.6 	34.1 	59.6 	65.5 	12.1 	96.2 	50.9 	63.9 	44.2 	33.0 	39.7 	5.0 	79.6 	18.0 	50.3 	58.6 	77.8 	12.9 	4.2 	31.4 	84.1 	47.5 	96.1 	87.1 	52.9 	84.8 	8.9 	79.1 	57.8 	30.1 	55.7 	80.8 	36.3 	70.2 	35.3 	48.1 	2.3 	14.0 	86.5 	49.2 	38.0 	80.4 	46.3 	69.4 	94.4 	
99.7 	0.0 	1.2 	72.0 	80.6 	9.8 	76.2 	7.7 	46.1 	53.7 	7.2 	34.8 	56.2 	34.7 	20.3 	31.4 	73.5 	67.1 	4.6 	26.5 	69.5 	47.8 	40.5 	90.2 	49.2 	99.2 	92.5 	68.1 	46.4 	15.2 	34.9 	87.8 	59.6 	62.7 	32.2 	43.3 	19.8 	96.9 	8.1 	75.1 	13.6 	54.9 	41.1 	86.6 	30.0 	98.6 	95.7 	26.2 	75.5 	95.5 	39.2 	76.1 	83.0 	49.1 	30.2 	10.3 	83.3 	82.0 	37.2 	8.1 	23.0 	50.9 	1.2 	27.9 	80.1 	76.8 	40.5 	29.3 	91.5 	13.5 	5.1 	2.8 	34.8 	64.9 	19.6 	89.5 	91.6 	39.7 	42.5 	16.5 	
16.6 	1.2 	0.0 	39.9 	46.0 	60.3 	68.0 	44.7 	39.7 	65.1 	29.6 	66.2 	89.4 	50.3 	43.1 	52.1 	19.7 	37.4 	18.6 	59.2 	54.2 	20.7 	71.8 	77.1 	23.4 	41.8 	86.6 	19.4 	47.9 	95.1 	66.4 	26.3 	52.8 	98.6 	34.9 	42.3 	16.9 	19.0 	45.1 	38.4 	91.0 	81.9 	98.8 	30.7 	70.2 	89.0 	28.2 	63.5 	92.0 	49.5 	61.5 	36.4 	11.3 	54.2 	99.1 	16.6 	64.2 	25.0 	40.9 	22.2 	55.1 	75.7 	83.3 	44.2 	49.7 	42.7 	12.9 	21.5 	78.9 	77.5 	75.2 	41.9 	41.8 	53.2 	21.1 	99.7 	59.5 	79.5 	92.3 	91.7 	
39.3 	72.0 	39.9 	0.0 	29.1 	92.0 	4.5 	41.8 	30.4 	20.0 	94.7 	20.5 	15.6 	7.4 	89.0 	25.1 	85.4 	32.4 	34.6 	88.1 	64.4 	14.5 	26.5 	25.4 	62.2 	35.8 	49.7 	37.0 	85.6 	32.5 	69.2 	88.4 	65.7 	50.7 	19.0 	97.1 	55.8 	80.7 	19.2 	23.0 	40.7 	61.9 	26.0 	19.8 	60.3 	36.8 	52.2 	66.3 	71.5 	74.8 	91.2 	58.5 	77.1 	46.3 	5.1 	53.1 	14.1 	84.3 	38.5 	36.9 	43.6 	36.0 	60.0 	39.9 	22.5 	19.1 	49.2 	96.5 	68.9 	36.7 	58.2 	41.8 	92.8 	1.2 	45.6 	15.8 	89.7 	47.5 	95.2 	61.8 	
5.0 	80.6 	46.0 	29.1 	0.0 	94.7 	19.7 	53.3 	7.9 	96.0 	61.6 	92.2 	99.2 	42.8 	49.7 	85.1 	16.8 	80.8 	82.2 	53.9 	27.4 	20.8 	52.0 	81.1 	97.0 	17.8 	51.8 	58.5 	78.6 	9.5 	54.4 	11.8 	58.2 	90.3 	89.1 	90.5 	97.1 	60.9 	1.5 	56.8 	63.5 	98.2 	71.5 	68.9 	9.9 	63.9 	64.3 	29.6 	59.2 	4.6 	88.8 	22.3 	74.3 	54.7 	66.3 	22.7 	60.6 	58.6 	15.1 	27.9 	12.5 	67.4 	14.8 	95.4 	30.6 	93.0 	12.1 	29.8 	79.8 	90.1 	72.5 	14.5 	53.5 	93.8 	28.6 	41.7 	1.3 	9.6 	76.8 	44.9 	
83.1 	9.8 	60.3 	92.0 	94.7 	0.0 	34.9 	7.4 	17.5 	77.1 	56.2 	22.0 	3.6 	25.3 	38.2 	82.3 	63.8 	91.1 	55.8 	25.5 	51.9 	68.1 	60.2 	56.9 	58.4 	89.7 	76.4 	10.6 	94.1 	75.6 	38.5 	21.7 	63.7 	22.7 	18.8 	12.4 	32.0 	29.7 	12.1 	17.9 	47.8 	39.5 	43.1 	77.5 	9.6 	40.1 	63.6 	77.0 	10.6 	58.4 	65.9 	45.7 	31.9 	42.3 	61.3 	15.6 	96.6 	83.9 	42.6 	52.2 	56.4 	99.4 	9.5 	41.3 	42.3 	52.1 	43.9 	3.1 	25.4 	60.4 	37.8 	91.3 	57.9 	77.5 	67.6 	28.6 	8.7 	88.9 	97.5 	71.1 	
50.3 	76.2 	68.0 	4.5 	19.7 	34.9 	0.0 	52.4 	57.7 	24.4 	78.8 	90.0 	11.5 	46.8 	4.8 	5.9 	30.1 	43.5 	44.3 	69.8 	87.2 	51.7 	34.9 	66.8 	87.3 	76.3 	76.2 	36.9 	87.5 	91.0 	73.9 	97.6 	37.3 	98.8 	55.0 	42.2 	47.8 	79.8 	6.3 	23.1 	9.7 	8.3 	60.2 	16.9 	18.8 	94.5 	46.5 	8.2 	87.4 	6.0 	75.7 	10.4 	32.2 	41.7 	10.5 	68.3 	43.1 	42.3 	57.2 	8.0 	34.1 	81.1 	33.3 	3.9 	83.6 	83.1 	62.8 	37.4 	54.7 	71.1 	74.3 	67.3 	87.8 	3.8 	74.9 	73.9 	52.5 	10.1 	86.0 	44.3 	
8.2 	7.7 	44.7 	41.8 	53.3 	7.4 	52.4 	0.0 	75.9 	93.1 	95.0 	83.1 	23.4 	91.9 	5.3 	46.4 	1.8 	50.2 	4.0 	62.4 	80.0 	63.5 	63.1 	75.0 	84.1 	28.3 	46.5 	52.3 	38.1 	68.3 	54.8 	59.0 	57.7 	80.2 	12.6 	19.5 	13.0 	61.5 	32.9 	18.6 	55.3 	59.1 	17.7 	4.0 	57.2 	30.3 	83.3 	97.6 	54.1 	42.0 	42.0 	14.5 	4.0 	18.3 	10.7 	6.5 	31.9 	16.7 	81.6 	3.8 	47.1 	51.7 	34.4 	92.5 	90.7 	64.1 	21.0 	43.7 	39.6 	16.5 	58.9 	22.5 	8.5 	36.2 	25.4 	8.2 	35.7 	94.3 	64.2 	79.5 	
9.1 	46.1 	39.7 	30.4 	7.9 	17.5 	57.7 	75.9 	0.0 	68.7 	18.6 	76.5 	2.3 	65.3 	66.4 	30.7 	82.6 	27.1 	74.0 	10.1 	15.2 	75.0 	54.4 	85.2 	8.0 	81.6 	53.7 	39.7 	90.9 	45.5 	53.1 	98.4 	18.9 	45.3 	43.8 	80.9 	53.5 	68.8 	36.0 	76.8 	78.9 	50.2 	98.5 	19.3 	97.1 	17.9 	15.6 	52.4 	19.1 	56.1 	31.8 	69.4 	92.8 	64.1 	63.8 	87.3 	83.4 	73.6 	39.3 	49.7 	84.8 	56.7 	26.7 	2.1 	36.4 	10.7 	69.7 	22.2 	17.2 	11.9 	47.0 	5.5 	83.1 	80.1 	47.9 	60.4 	11.3 	8.7 	60.0 	69.8 	
46.5 	53.7 	65.1 	20.0 	96.0 	77.1 	24.4 	93.1 	68.7 	0.0 	50.4 	62.5 	97.0 	11.4 	96.4 	95.3 	55.5 	80.7 	14.1 	76.1 	90.5 	91.4 	1.3 	72.3 	42.7 	62.6 	23.9 	89.6 	87.9 	58.7 	24.4 	38.9 	71.7 	16.1 	29.8 	85.1 	62.3 	31.3 	66.3 	55.3 	31.3 	47.5 	60.3 	91.2 	16.2 	49.6 	41.1 	44.8 	69.7 	29.4 	40.0 	62.6 	82.0 	88.1 	64.8 	91.0 	25.8 	81.3 	55.2 	69.2 	43.0 	22.0 	88.5 	96.5 	12.6 	91.8 	64.0 	58.4 	96.4 	29.8 	22.5 	31.9 	99.4 	68.6 	41.6 	57.9 	36.7 	10.0 	59.4 	49.0 	
