30
0.0 	27.7 	76.4 	20.8 	81.7 	98.1 	99.1 	19.6 	81.4 	2.1 	36.2 	25.9 	31.1 	13.7 	34.9 	8.2 	50.7 	65.8 	87.7 	60.2 	80.2 	91.1 	89.8 	60.5 	90.1 	61.5 	79.7 	68.5 	91.9 	63.9 	
27.7 	0.0 	14.3 	74.1 	97.6 	65.0 	37.7 	74.3 	23.8 	99.7 	11.8 	90.3 	43.6 	83.8 	61.0 	60.5 	45.9 	79.6 	82.8 	42.9 	69.3 	14.1 	67.1 	25.9 	62.1 	78.6 	66.5 	95.5 	83.2 	40.1 	
76.4 	14.3 	0.0 	44.0 	68.1 	4.7 	44.0 	68.8 	38.3 	91.1 	93.2 	94.3 	38.1 	91.8 	54.2 	52.6 	96.5 	80.8 	98.7 	27.7 	39.8 	46.4 	41.7 	29.5 	52.0 	50.2 	78.2 	78.9 	99.9 	4.3 	
20.8 	74.1 	44.0 	0.0 	28.4 	83.8 	27.0 	70.1 	48.3 	30.4 	31.8 	71.6 	15.1 	64.2 	40.7 	96.4 	34.3 	80.0 	84.0 	21.8 	49.9 	11.3 	78.7 	75.2 	63.9 	92.0 	45.8 	32.1 	87.5 	49.6 	
81.7 	97.6 	68.1 	28.4 	0.0 	83.9 	69.9 	43.1 	37.8 	70.8 	12.9 	21.1 	18.7 	77.5 	40.7 	93.8 	98.3 	88.3 	57.3 	93.3 	49.0 	25.7 	50.5 	79.7 	9.9 	86.7 	71.3 	31.9 	30.8 	30.3 	
98.1 	65.0 	4.7 	83.8 	83.9 	0.0 	60.9 	93.3 	83.3 	25.1 	28.4 	29.3 	81.2 	62.5 	52.7 	12.3 	83.3 	74.3 	26.4 	45.8 	34.3 	90.1 	75.1 	80.3 	52.1 	99.1 	18.1 	48.6 	44.7 	43.4 	
99.1 	37.7 	44.0 	27.0 	69.9 	60.9 	0.0 	47.4 	66.5 	70.2 	80.7 	69.0 	56.8 	12.5 	81.2 	1.8 	38.0 	44.0 	99.8 	82.7 	76.2 	76.9 	70.6 	45.5 	94.6 	11.3 	4.5 	9.2 	96.0 	44.2 	
19.6 	74.3 	68.8 	70.1 	43.1 	93.3 	47.4 	0.0 	59.1 	68.8 	44.9 	28.0 	65.1 	72.6 	60.9 	18.3 	36.2 	93.2 	57.9 	77.0 	22.7 	85.8 	63.2 	90.0 	39.6 	35.1 	14.9 	85.2 	94.7 	95.3 	
81.4 	23.8 	38.3 	48.3 	37.8 	83.3 	66.5 	59.1 	0.0 	95.9 	19.1 	49.7 	59.6 	55.9 	2.8 	16.3 	82.6 	13.7 	45.9 	83.5 	79.6 	91.0 	32.9 	16.8 	66.6 	98.7 	64.4 	86.0 	62.3 	21.4 	
2.1 	99.7 	91.1 	30.4 	70.8 	25.1 	70.2 	68.8 	95.9 	0.0 	94.5 	54.8 	82.0 	6.8 	2.8 	31.0 	67.7 	62.9 	28.9 	71.3 	67.8 	65.6 	97.4 	62.8 	42.7 	40.4 	33.1 	36.6 	1.0 	85.5 	
36.2 	11.8 	93.2 	31.8 	12.9 	28.4 	80.7 	44.9 	19.1 	94.5 	0.0 	11.2 	81.7 	45.6 	66.3 	26.4 	60.8 	41.1 	73.3 	30.8 	34.0 	41.1 	45.6 	33.9 	37.4 	84.7 	70.9 	87.8 	26.1 	35.7 	
25.9 	90.3 	94.3 	71.6 	21.1 	29.3 	69.0 	28.0 	49.7 	54.8 	11.2 	0.0 	99.9 	92.1 	67.0 	45.7 	29.6 	79.6 	74.0 	42.6 	36.3 	27.6 	71.6 	29.4 	61.3 	25.7 	37.2 	62.3 	32.1 	69.9 	
31.1 	43.6 	38.1 	15.1 	18.7 	81.2 	56.8 	65.1 	59.6 	82.0 	81.7 	99.9 	0.0 	37.0 	62.5 	79.8 	92.0 	92.7 	23.4 	62.6 	39.3 	41.1 	59.8 	36.0 	71.0 	10.1 	78.9 	16.5 	8.8 	31.9 	
13.7 	83.8 	91.8 	64.2 	77.5 	62.5 	12.5 	72.6 	55.9 	6.8 	45.6 	92.1 	37.0 	0.0 	35.1 	15.7 	47.9 	21.1 	5.9 	47.5 	24.0 	79.3 	8.2 	65.5 	88.9 	20.6 	90.9 	69.5 	21.5 	11.3 	
34.9 	61.0 	54.2 	40.7 	40.7 	52.7 	81.2 	60.9 	2.8 	2.8 	66.3 	67.0 	62.5 	35.1 	0.0 	55.5 	17.5 	13.5 	75.5 	39.5 	97.8 	22.8 	87.8 	69.7 	42.0 	79.8 	8.4 	53.7 	54.9 	36.9 	
8.2 	60.5 	52.6 	96.4 	93.8 	12.3 	1.8 	18.3 	16.3 	31.0 	26.4 	45.7 	79.8 	15.7 	55.5 	0.0 	61.4 	12.0 	94.3 	13.7 	81.7 	81.9 	32.5 	10.0 	66.3 	20.4 	62.3 	41.9 	40.0 	16.5 	
50.7 	45.9 	96.5 	34.3 	98.3 	83.3 	38.0 	36.2 	82.6 	67.7 	60.8 	29.6 	92.0 	47.9 	17.5 	61.4 	0.0 	37.5 	8.3 	67.6 	90.8 	76.4 	37.6 	82.7 	49.7 	18.8 	85.7 	59.0 	95.1 	91.5 	
65.8 	79.6 	80.8 	80.0 	88.3 	74.3 	44.0 	93.2 	13.7 	62.9 	41.1 	79.6 	92.7 	21.1 	13.5 	12.0 	37.5 	0.0 	24.0 	49.0 	84.3 	52.4 	6.5 	12.9 	25.2 	89.2 	53.5 	15.8 	64.5 	60.9 	
87.7 	82.8 	98.7 	84.0 	57.3 	26.4 	99.8 	57.9 	45.9 	28.9 	73.3 	74.0 	23.4 	5.9 	75.5 	94.3 	8.3 	24.0 	0.0 	3.8 	17.4 	45.3 	84.9 	81.1 	48.3 	55.8 	37.9 	22.9 	11.3 	40.3 	
60.2 	42.9 	27.7 	21.8 	93.3 	45.8 	82.7 	77.0 	83.5 	71.3 	30.8 	42.6 	62.6 	47.5 	39.5 	13.7 	67.6 	49.0 	3.8 	0.0 	22.2 	75.6 	98.7 	78.6 	96.9 	65.7 	58.2 	2.7 	84.8 	69.4 	
80.2 	69.3 	39.8 	49.9 	49.0 	34.3 	76.2 	22.7 	79.6 	67.8 	34.0 	36.3 	39.3 	24.0 	97.8 	81.7 	90.8 	84.3 	17.4 	22.2 	0.0 	94.7 	41.0 	33.0 	2.6 	17.6 	76.9 	86.3 	85.9 	94.9 	
91.1 	14.1 	46.4 	11.3 	25.7 	90.1 	76.9 	85.8 	91.0 	65.6 	41.1 	27.6 	41.1 	79.3 	22.8 	81.9 	76.4 	52.4 	45.3 	75.6 	94.7 	0.0 	54.3 	97.3 	13.6 	55.6 	72.7 	69.5 	73.3 	64.2 	
89.8 	67.1 	41.7 	78.7 	50.5 	75.1 	70.6 	63.2 	32.9 	97.4 	45.6 	71.6 	59.8 	8.2 	87.8 	32.5 	37.6 	6.5 	84.9 	98.7 	41.0 	54.3 	0.0 	58.8 	11.3 	64.3 	71.8 	81.7 	65.4 	59.6 	
60.5 	25.9 	29.5 	75.2 	79.7 	80.3 	45.5 	90.0 	16.8 	62.8 	33.9 	29.4 	36.0 	65.5 	69.7 	10.0 	82.7 	12.9 	81.1 	78.6 	33.0 	97.3 	58.8 	0.0 	17.3 	67.0 	58.3 	46.1 	47.4 	8.1 	
90.1 	62.1 	52.0 	63.9 	9.9 	52.1 	94.6 	39.6 	66.6 	42.7 	37.4 	61.3 	71.0 	88.9 	42.0 	66.3 	49.7 	25.2 	48.3 	96.9 	2.6 	13.6 	11.3 	17.3 	0.0 	68.8 	48.4 	35.9 	69.2 	37.8 	
61.5 	78.6 	50.2 	92.0 	86.7 	99.1 	11.3 	35.1 	98.7 	40.4 	84.7 	25.7 	10.1 	20.6 	79.8 	20.4 	18.8 	89.2 	55.8 	65.7 	17.6 	55.6 	64.3 	67.0 	68.8 	0.0 	4.6 	59.8 	58.4 	4.6 	
79.7 	66.5 	78.2 	45.8 	71.3 	18.1 	4.5 	14.9 	64.4 	33.1 	70.9 	37.2 	78.9 	90.9 	8.4 	62.3 	85.7 	53.5 	37.9 	58.2 	76.9 	72.7 	71.8 	58.3 	48.4 	4.6 	0.0 	25.0 	75.8 	56.0 	
68.5 	95.5 	78.9 	32.1 	31.9 	48.6 	9.2 	85.2 	86.0 	36.6 	87.8 	62.3 	16.5 	69.5 	53.7 	41.9 	59.0 	15.8 	22.9 	2.7 	86.3 	69.5 	81.7 	46.1 	35.9 	59.8 	25.0 	0.0 	38.7 	37.3 	
91.9 	83.2 	99.9 	87.5 	30.8 	44.7 	96.0 	94.7 	62.3 	1.0 	26.1 	32.1 	8.8 	21.5 	54.9 	40.0 	95.1 	64.5 	11.3 	84.8 	85.9 	73.3 	65.4 	47.4 	69.2 	58.4 	75.8 	38.7 	0.0 	12.4 	
63.9 	40.1 	4.3 	49.6 	30.3 	43.4 	44.2 	95.3 	21.4 	85.5 	35.7 	69.9 	31.9 	11.3 	36.9 	16.5 	91.5 	60.9 	40.3 	69.4 	94.9 	64.2 	59.6 	8.1 	37.8 	4.6 	56.0 	37.3 	12.4 	0.0 	
