12
0.0 	31.3 	13.3 	73.1 	20.4 	31.4 	18.7 	66.1 	92.4 	93.0 	77.5 	67.5 	
31.3 	0.0 	7.9 	18.0 	2.6 	11.1 	42.0 	30.5 	56.6 	1.8 	97.2 	59.4 	
13.3 	7.9 	0.0 	44.1 	13.7 	7.5 	27.1 	17.8 	16.2 	76.9 	36.9 	55.8 	
73.1 	18.0 	44.1 	0.0 	23.7 	90.8 	35.3 	12.1 	42.2 	77.2 	78.7 	50.6 	
20.4 	2.6 	13.7 	23.7 	0.0 	30.0 	51.5 	90.0 	9.8 	88.2 	56.1 	51.9 	
31.4 	11.1 	7.5 	90.8 	30.0 	0.0 	84.6 	38.5 	90.0 	20.5 	41.0 	62.1 	
18.7 	42.0 	27.1 	35.3 	51.5 	84.6 	0.0 	25.3 	15.9 	55.8 	92.7 	13.9 	
66.1 	30.5 	17.8 	12.1 	90.0 	38.5 	25.3 	0.0 	86.6 	32.1 	70.8 	12.0 	
92.4 	56.6 	16.2 	42.2 	9.8 	90.0 	15.9 	86.6 	0.0 	89.6 	41.2 	38.4 	
93.0 	1.8 	76.9 	77.2 	88.2 	20.5 	55.8 	32.1 	89.6 	0.0 	67.7 	12.4 	
77.5 	97.2 	36.9 	78.7 	56.1 	41.0 	92.7 	70.8 	41.2 	67.7 	0.0 	16.6 	
67.5 	59.4 	55.8 	50.6 	51.9 	62.1 	13.9 	12.0 	38.4 	12.4 	16.6 	0.0 	
