70
0.0 	85.4 	45.3 	44.5 	86.0 	84.1 	29.4 	9.9 	6.6 	82.5 	42.7 	21.7 	76.3 	13.4 	41.2 	42.1 	89.6 	93.3 	52.0 	36.5 	57.3 	56.9 	88.5 	4.4 	67.4 	82.7 	40.4 	40.3 	25.6 	91.9 	60.0 	41.8 	77.9 	18.1 	61.5 	98.4 	20.9 	27.1 	94.7 	33.6 	43.3 	20.5 	37.9 	92.0 	67.4 	6.9 	50.7 	5.0 	47.0 	9.0 	12.2 	17.9 	48.8 	38.6 	89.1 	14.6 	99.1 	52.8 	50.1 	27.0 	88.5 	78.2 	52.4 	87.1 	16.2 	77.1 	38.7 	39.5 	88.0 	7.5 	
85.4 	0.0 	18.7 	82.7 	21.6 	80.1 	16.3 	33.7 	48.7 	35.1 	10.1 	20.3 	7.6 	99.6 	27.6 	32.9 	29.4 	18.4 	75.3 	54.9 	19.5 	81.5 	18.1 	78.4 	46.5 	77.8 	23.5 	40.2 	83.3 	5.1 	91.2 	75.9 	86.3 	50.4 	15.6 	43.2 	24.4 	3.3 	2.0 	22.7 	99.7 	22.5 	50.2 	25.2 	98.4 	85.6 	24.2 	49.9 	72.9 	51.9 	64.5 	49.4 	96.3 	69.2 	10.3 	81.3 	34.1 	82.7 	79.1 	95.7 	89.5 	25.4 	18.7 	77.4 	39.2 	38.2 	4.1 	73.3 	71.8 	37.6 	
45.3 	18.7 	0.0 	28.2 	41.7 	9.2 	16.8 	64.4 	41.8 	88.5 	4.5 	5.0 	49.4 	26.4 	55.6 	84.9 	70.4 	7.1 	92.4 	3.1 	35.1 	50.8 	55.3 	36.6 	50.7 	71.7 	2.3 	88.1 	83.7 	58.9 	33.3 	12.3 	56.5 	88.2 	16.3 	20.0 	15.3 	48.3 	17.0 	9.6 	61.7 	44.2 	74.4 	88.4 	17.7 	82.3 	51.6 	12.3 	70.7 	61.5 	1.9 	93.7 	83.9 	27.8 	96.2 	27.1 	49.3 	29.1 	9.8 	31.1 	63.0 	15.4 	77.3 	91.6 	54.3 	42.3 	88.7 	42.6 	43.5 	85.1 	
44.5 	82.7 	28.2 	0.0 	34.9 	11.3 	44.6 	93.5 	97.6 	79.2 	69.5 	96.9 	6.6 	42.0 	87.6 	28.8 	56.2 	28.8 	41.1 	52.1 	95.2 	44.8 	33.1 	55.0 	88.7 	72.7 	82.2 	85.7 	17.9 	96.5 	47.2 	28.1 	85.0 	6.0 	49.9 	24.5 	45.8 	76.1 	17.6 	84.9 	2.9 	78.6 	3.4 	76.1 	26.2 	47.0 	51.6 	53.4 	68.5 	63.4 	56.6 	18.1 	59.7 	47.7 	98.6 	5.3 	23.8 	16.7 	49.7 	31.2 	5.8 	33.0 	8.9 	31.4 	53.6 	69.2 	92.9 	90.4 	97.9 	83.8 	
86.0 	21.6 	41.7 	34.9 	0.0 	18.4 	17.1 	38.9 	28.4 	27.7 	3.5 	35.7 	44.0 	79.6 	19.9 	1.9 	52.3 	68.5 	7.4 	99.9 	83.2 	30.3 	38.4 	67.4 	15.2 	90.2 	78.4 	24.9 	9.2 	51.1 	67.5 	36.5 	5.9 	41.0 	85.6 	97.0 	41.7 	39.0 	59.4 	2.0 	40.8 	44.1 	38.3 	72.8 	26.2 	58.5 	60.6 	20.6 	87.8 	50.0 	47.2 	89.3 	34.4 	23.0 	21.8 	58.6 	19.3 	5.6 	39.4 	22.0 	14.6 	97.5 	59.4 	33.2 	43.5 	40.9 	70.1 	8.2 	80.4 	31.7 	
84.1 	80.1 	9.2 	11.3 	18.4 	0.0 	96.5 	35.4 	55.3 	50.9 	65.3 	65.9 	20.6 	11.7 	9.9 	11.6 	32.9 	50.5 	90.5 	14.5 	25.1 	52.3 	18.0 	10.6 	1.5 	40.0 	64.3 	79.2 	65.1 	81.4 	89.2 	1.8 	67.1 	36.3 	20.6 	32.0 	24.1 	2.5 	34.4 	45.7 	78.5 	85.7 	10.9 	22.1 	83.9 	46.0 	68.8 	66.0 	12.7 	47.0 	67.9 	3.8 	29.0 	49.1 	15.8 	89.7 	67.0 	44.5 	97.1 	80.3 	72.9 	4.3 	86.6 	71.2 	82.4 	33.0 	88.7 	68.7 	12.8 	95.6 	
29.4 	16.3 	16.8 	44.6 	17.1 	96.5 	0.0 	81.7 	24.2 	47.9 	62.7 	60.2 	96.6 	13.6 	36.8 	15.5 	89.6 	87.5 	43.4 	22.3 	23.6 	84.1 	52.2 	1.8 	14.1 	74.1 	9.4 	23.3 	20.4 	57.8 	92.9 	73.8 	22.5 	27.3 	93.9 	98.8 	11.7 	91.6 	83.0 	31.2 	99.2 	12.6 	53.8 	57.2 	49.0 	26.1 	71.4 	96.0 	81.1 	17.0 	44.8 	55.2 	25.3 	51.5 	89.1 	27.6 	2.3 	57.8 	96.5 	97.1 	95.8 	78.6 	36.1 	9.8 	87.0 	6.8 	60.3 	32.7 	99.5 	52.9 	
9.9 	33.7 	64.4 	93.5 	38.9 	35.4 	81.7 	0.0 	56.0 	19.3 	74.3 	96.1 	55.9 	24.5 	19.1 	13.4 	50.7 	87.4 	84.8 	30.4 	2.4 	44.7 	46.8 	89.9 	21.6 	13.5 	90.1 	87.2 	98.5 	27.3 	44.6 	90.3 	28.7 	32.1 	65.8 	43.9 	64.5 	61.6 	47.4 	44.3 	30.9 	89.2 	33.4 	11.0 	71.6 	98.4 	32.9 	53.4 	84.1 	13.3 	5.7 	27.0 	63.5 	80.5 	11.7 	54.5 	14.8 	26.4 	5.3 	72.1 	82.1 	89.8 	13.5 	10.8 	10.0 	97.9 	98.3 	32.3 	4.5 	35.1 	
6.6 	48.7 	41.8 	97.6 	28.4 	55.3 	24.2 	56.0 	0.0 	80.7 	21.9 	13.9 	94.1 	32.6 	34.8 	27.2 	10.6 	47.2 	61.2 	61.8 	27.5 	47.2 	89.9 	67.0 	46.3 	17.0 	14.3 	50.5 	71.4 	5.4 	51.2 	27.2 	1.1 	65.5 	77.1 	22.1 	97.6 	49.5 	70.0 	71.2 	78.0 	2.6 	65.6 	59.4 	18.9 	47.4 	69.0 	10.9 	42.5 	71.6 	10.5 	88.6 	91.2 	80.7 	28.7 	59.8 	8.4 	55.0 	89.8 	36.9 	86.8 	30.5 	67.2 	28.5 	91.0 	91.6 	51.3 	18.3 	45.9 	35.4 	
82.5 	35.1 	88.5 	79.2 	27.7 	50.9 	47.9 	19.3 	80.7 	0.0 	93.5 	35.8 	97.0 	24.1 	84.2 	27.7 	64.5 	61.1 	89.1 	53.2 	46.4 	64.4 	16.6 	76.5 	8.6 	60.1 	35.5 	5.3 	48.4 	47.5 	23.5 	65.3 	24.9 	72.2 	20.3 	18.6 	92.7 	61.7 	60.7 	30.1 	66.4 	16.2 	76.3 	32.1 	49.0 	51.7 	51.9 	25.0 	62.1 	39.7 	23.2 	26.6 	84.6 	66.6 	13.8 	88.2 	21.7 	19.3 	62.3 	15.9 	13.6 	48.3 	85.0 	27.7 	84.4 	26.4 	43.0 	28.6 	39.7 	31.1 	
